directorate	division	program
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Hurricane Maria 2017
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GENERAL SUPPORT
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	INFORMATION SVCS (ARCTIC RES)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	FSU SUPPLEMENTS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	STRUCTURE AND REACTIVITY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	STATISTICAL AND SIMULATIONS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	LIFE IN EXTREME ENVIRONMENTS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ADVANCED SYS APPLI(ARCTIC RES)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	WESTERN EUROPE, OTHER
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	INDUSTRY/UNIV COOP RESEAR
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	EXTRAGALACTIC ASTRON & COSMOLO
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	OCE-Ocean Sciences Research
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	EARTH SCIENCES-TOT(ARCTIC RES)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SUBMARINE GEOLOGY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	IRFP-Inter Res Fellowship Prog
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GEOLOGY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	COLLABORATIVE ACTIVITIES
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Human-Envi & Geographical Scis
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ANTHROPOLOGY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SHIPBOARD SUPP EQUIPMENT & INS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SEISMOLOGY & DEEP EARTH,SP PRJ
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	F.Y. 1973 PROJECTS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ECI-Engineering for Civil Infr
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	MICROBIAL GENETICS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	LOCAL & REG TEACHER DEVEL
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	POPULATION REDISTRIBUTION
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SWITZERLAND
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Ecology of Infectious Diseases
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	THEORETICAL COMPUTER SCIENCE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	INTELLIGENT SYSTEMS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CYBER TRUST
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NEES OPERATIONS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	US/USSR ACTIVITIES
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GEOCHEMISTRY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GEODESY & CARTOGRAPHY RESOURCE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ARGENTINA
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	UNDERGRAD INSTRM & LAB IMPROVE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SCIENCE IN DEVELOPING COUNTRIE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NEES RESEARCH
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	XD-Extreme Digital
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NATIONAL FACILITIES
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	CIS-Civil Infrastructure Syst
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	LONG-TERM RSCH IN ENVIR BIO
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	AFRICA AND ASIA,OTHER
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	VENEZUELA
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SBIR/STTR Operations
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Symbiosis Infection & Immunity
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Nanoscale Interactions Program
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	INORGANIC CHEMICAL DYNAMICS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ITALY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ARCTIC RESEARCH PROGRAM
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SBIR Phase I
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	RES OPPORTUNITIES FOR WOMEN
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	F.Y. 1974 PROJECTS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	COMPUTER SYSTEMS DESIGN
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	INTERNATIONAL INFO & ANALYSIS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SOFTWARE SYSTEMS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Cultural Anthropology
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Cross-Directorate  Activities
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Biological Anthropology
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	ECOLOGICAL & EVOLUTIONARY PHYS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NATIONL EARTHQK HZRD REDCT PRG
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	AON-Arctic Observing Network
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	LHC OPERATIONS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	HUNGARY
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	SWEDEN
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Chemical Instrumentation
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GRADUATE FELLOWSHIPS - FY-87
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	RADIO SPECTRUM MANAGEMENT
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	Archaeology
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	GERMANY (F.R.G.)
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	MECHANICS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	U.S.-CZECHOSLOVAKIA PROGRAM
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NAIC-OPERATIONS & MAINTENANCE
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	VIRTUAL ORGANIZATIONS
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	EDA-Eng Diversity Activities
Directorate for Geosciences	Division of Atmospheric and Geospace Sciences	NAT ASTRONOMY & IONESPHERE CEN
Directorate for Geosciences	Office of Polar Programs (OPP)	ARC Rsch Support & Logistics
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Organisms & Ecosystems
Directorate for Geosciences	Office of Polar Programs (OPP)	ARCSS-Arctic System Science
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Astrophys & Geospace Sci
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Ocean & Atmos Sciences
Directorate for Geosciences	Office of Polar Programs (OPP)	MAJOR CONSTRUCTION & PROCUREMN
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Glaciology
Directorate for Geosciences	Office of Polar Programs (OPP)	Antarctic Operations Support
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Earth Sciences
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Instrum & Facilities
Directorate for Geosciences	Office of Polar Programs (OPP)	CONTRACT SUPPORT
Directorate for Geosciences	Office of Polar Programs (OPP)	USALS-Ant Logistics Support
Directorate for Geosciences	Office of Polar Programs (OPP)	Chemical Oceanography
Directorate for Geosciences	Office of Polar Programs (OPP)	Unallocated Program Costs
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Coordination & Information
Directorate for Geosciences	Office of Polar Programs (OPP)	GENERAL ARCTIC RESEARCH SUPPRT
Directorate for Geosciences	Office of Polar Programs (OPP)	CONNECTIONS
Directorate for Geosciences	Office of Polar Programs (OPP)	SOUTH POLE STATION MODERNIZATI
Directorate for Geosciences	Office of Polar Programs (OPP)	SCIENCE SUPPORT
Directorate for Geosciences	Office of Polar Programs (OPP)	BIOLOGICAL OCEANOGRAPHY
Directorate for Geosciences	Office of Polar Programs (OPP)	SOUTH POLE SAFETY PROJECT
Directorate for Geosciences	Office of Polar Programs (OPP)	Other PRA-Othr Prgrm Rltd Admn
Directorate for Geosciences	Office of Polar Programs (OPP)	ENVIRONMENTAL COORDINATION ACT
Directorate for Geosciences	Office of Polar Programs (OPP)	SHIP OPERATIONS
Directorate for Geosciences	Office of Polar Programs (OPP)	SAFETY & HEALTH COORDIN SERVIC
Directorate for Geosciences	Office of Polar Programs (OPP)	US ANTARCTIC OFF REPR EXP
Directorate for Geosciences	Office of Polar Programs (OPP)	EARMARKED CARRYOVER-RRA
Directorate for Geosciences	Office of Polar Programs (OPP)	ANS-Arctic Natural Sciences
Directorate for Geosciences	Office of Polar Programs (OPP)	RESEARCH SHIP SUPPORT
Directorate for Geosciences	Office of Polar Programs (OPP)	AON-Arctic Observing Network
Directorate for Geosciences	Office of Polar Programs (OPP)	OCEAN DRILLING PROGRAM
Directorate for Geosciences	Office of Polar Programs (OPP)	ANT Integrated System Science
Directorate for Geosciences	Office of Polar Programs (OPP)	ASSP-Arctic Social Science
Directorate for Geosciences	Office of Polar Programs (OPP)	Polar Special Initiatives
Directorate for Geosciences	Office of Polar Programs (OPP)	USCG - ARCTIC
Directorate for Geosciences	Office of Polar Programs (OPP)	USCG - Antarctic
Directorate for Geosciences	Office of Polar Programs (OPP)	OCEAN TECH & INTERDISC COORDIN
Directorate for Geosciences	Office of Polar Programs (OPP)	Polar Cyberinfrastructure
Directorate for Geosciences	Office of Polar Programs (OPP)	ANTARCT LOG SUP-OTHER FED AGEN
Directorate for Geosciences	Office of Polar Programs (OPP)	ICECUBE-OPERATIONS & MAINTENAN
Directorate for Geosciences	Office of Polar Programs (OPP)	Marine Geology and Geophysics
Directorate for Geosciences	Office of Polar Programs (OPP)	FUNDS REPROGRAM TO COAST GUARD
Directorate for Geosciences	Office of Polar Programs (OPP)	Paleoclimate
Directorate for Geosciences	Office of Polar Programs (OPP)	INNOV THRU INSTITUTNL INTEGRTN
Directorate for Geosciences	Office of Polar Programs (OPP)	ARCTIC RES & POLICY SUPPORT PR
Directorate for Geosciences	Office of Polar Programs (OPP)	ICECUBE - CONSTRUCTION
Directorate for Geosciences	Office of Polar Programs (OPP)	ARCTIC RESEARCH AND EDUCATION
Directorate for Geosciences	Office of Polar Programs (OPP)	TEACHER ENHANCEMENT PROGRAM
Directorate for Geosciences	Office of Polar Programs (OPP)	AIR-Antarctic Infrastructure R
Directorate for Geosciences	Office of Polar Programs (OPP)	OFFICE OF MULTIDISCIPLINARY AC
Directorate for Geosciences	Office of Polar Programs (OPP)	LONG TERM ECOLOGICAL RESEARCH
Directorate for Geosciences	Office of Polar Programs (OPP)	Major Research Instrumentation
Directorate for Geosciences	Office of Polar Programs (OPP)	Antarctic Education
Directorate for Geosciences	Office of Polar Programs (OPP)	Integrat & Collab Ed & Rsearch
Directorate for Geosciences	Office of Polar Programs (OPP)	WoU-Windows on the Universe: T
Directorate for Geosciences	Office of Polar Programs (OPP)	Particle Astrophysics/Cosmic P
Directorate for Geosciences	Office of Polar Programs (OPP)	ARCTIC RESEARCH PROJECTS
Directorate for Geosciences	Office of Polar Programs (OPP)	CYBERINFRASTRUCTURE
Directorate for Geosciences	Office of Polar Programs (OPP)	IceCube Research Support
Directorate for Geosciences	Office of Polar Programs (OPP)	Eddie Bernice Johnson INCLUDES
Directorate for Geosciences	Office of Polar Programs (OPP)	PHYSICS-BROADEN PARTICIPATION
Directorate for Geosciences	Office of Polar Programs (OPP)	PHYSICAL OCEANOGRAPHY
Directorate for Geosciences	Office of Polar Programs (OPP)	EXTRAGALACTIC ASTRON & COSMOLO
Directorate for Geosciences	Office of Polar Programs (OPP)	EPSCoR Co-Funding
Directorate for Geosciences	Office of Polar Programs (OPP)	Atmospheric Chemistry
Directorate for Geosciences	Office of Polar Programs (OPP)	ECOSYSTEM STUDIES
Directorate for Geosciences	Office of Polar Programs (OPP)	POST DOC/TRAVEL
Directorate for Geosciences	Office of Polar Programs (OPP)	International Research Collab
Directorate for Geosciences	Office of Polar Programs (OPP)	MID-SCALE INSTRUMENTATION
Directorate for Geosciences	Office of Polar Programs (OPP)	STC CLASS OF 2005
Directorate for Geosciences	Office of Polar Programs (OPP)	STCs - 2021 Class
Directorate for Geosciences	Office of Polar Programs (OPP)	NNA-Navigating the New Arctic
Directorate for Geosciences	Office of Polar Programs (OPP)	Informat&Advis Svc-ArcticRsch
Directorate for Geosciences	Office of Polar Programs (OPP)	AIMS-Antarctic Infrastructure
Directorate for Geosciences	Office of Polar Programs (OPP)	Climate & Large-Scale Dynamics
Directorate for Geosciences	Office of Polar Programs (OPP)	STC Integrative Partnrshps Adm
Directorate for Geosciences	Office of Polar Programs (OPP)	Instrumentation & Facilities
Directorate for Geosciences	Office of Polar Programs (OPP)	ENVIRONMENT
Directorate for Geosciences	Office of Polar Programs (OPP)	ADVANCED TECHNOLOGIES & INSTRM
Directorate for Geosciences	Office of Polar Programs (OPP)	HEALTH
Directorate for Geosciences	Office of Polar Programs (OPP)	Population & Community Ecology
Directorate for Geosciences	Office of Polar Programs (OPP)	NSF Research Traineeship (NRT)
Directorate for Geosciences	Office of Polar Programs (OPP)	Antarctic Science and Technolo
Directorate for Geosciences	Office of Polar Programs (OPP)	BIOLOGY (RESOURCES)
Directorate for Geosciences	Office of Polar Programs (OPP)	SAFETY
Directorate for Geosciences	Office of Polar Programs (OPP)	AISL
Directorate for Geosciences	Office of Polar Programs (OPP)	CYBERINFRASTRUCTURE & SENSORS
